sp,lat,lon
vociferans,-5.62334,-74.0277
vociferans,-12.3001,-70.7598
vociferans,7,-67
vociferans,-11.1523,-66.2606
vociferans,-11.6225,-67.6667
vociferans,-4.48744,-73.3748
vociferans,-4.82858,-76.5519
vociferans,-6.73113,-76.2404
vociferans,-6.43566,-76.267
vociferans,-13.1948,-70.132
vociferans,-4.28115,-77.2387
vociferans,-12.0489,-69.6756
vociferans,-0.4764,-75.2775
vociferans,-4.38041,-74.2875
vociferans,-4.45332,-74.0927
vociferans,-5.66444,-76.8392
vociferans,0.02908,-77.3205
vociferans,-5.85861,-76.7178
vociferans,-12.8491,-70.1029
vociferans,-12.0425,-71.192
vociferans,-0.03484,-76.1643
vociferans,-3.33417,-72.3017
vociferans,-0.63784,-76.1501
vociferans,1.26778,-70.1947
vociferans,1.11909,-70.0826
vociferans,-3.69292,-73.258
vociferans,-3.50383,-73.1593
vociferans,-1.01343,-77.0168
vociferans,-11.2103,-74.3864
vociferans,-10.5044,-75.055
vociferans,-1.10475,-76.7316
vociferans,-12.8702,-71.3756
vociferans,-12.9364,-69.4892
vociferans,1.95013,-67.0003
vociferans,-12.4402,-70.2506
vociferans,-1.5176,-73.8156
vociferans,-1.6791,-73.7194
vociferans,-2.01883,-73.2539
vociferans,-5.55131,-73.8428
vociferans,-2.52895,-76.764
vociferans,-14.1656,-67.9115
vociferans,-14.4294,-67.9189
vociferans,2.92114,-67.4371
vociferans,-12.7127,-69.1946
vociferans,-10.41,-73.95
vociferans,-12.9634,-70.3355
vociferans,-10.3996,-73.7069
vociferans,-4.8877,-74.3621
vociferans,-11.71172,-69.21372
vociferans,-12.2341,-69.3281
vociferans,-3.11172,-77.7612
vociferans,-11.268,-69.0451
vociferans,-4.24507,-77.5443
vociferans,-7.31889,-76.4408
vociferans,-7.09417,-76.3011
vociferans,-3.87566,-73.457
vociferans,-12.457,-71.1392
vociferans,-14.6527,-67.5087
vociferans,-11.3877,-73.6468
vociferans,-11.5386,-73.4488
vociferans,-6.07605,-76.9704
vociferans,-4.34607,-73.261
vociferans,-3.62132,-72.3074
vociferans,-10.9931,-75.4213
vociferans,-12.5663,-70.1008
vociferans,-2.61056,-71.4858
vociferans,-2.71806,-70.5211
vociferans,-3.19889,-70.8992
vociferans,-0.67453,-76.3974
vociferans,3.5936,-73.5102
vociferans,-9.47094,-74.43978
vociferans,-11.911,-71.4105
vociferans,-5.43862,-67.2866
vociferans,-12.951,-68.9111
vociferans,-7.05444,-76.0789
vociferans,-7.26766,-75.8798
vociferans,-2.79278,-72.9169
vociferans,-7.19866,-74.9453
vociferans,4.02318,-68.0126
vociferans,3.2745,-67.582
vociferans,-0.47107,-76.4592
vociferans,4.99837,-66.38
vociferans,-12.6578,-69.8991
vociferans,-4.14441,-73.4937
vociferans,-5.68417,-77.6578
vociferans,-3.34138,-71.9007
vociferans,-10.5963,-69.6856
vociferans,-11.0504,-69.2386
vociferans,-10.888,-74.1845
vociferans,-10.6699,-74.065
vociferans,-10.7096,-73.8822
vociferans,-3.44267,-72.8497
vociferans,-3.04727,-73.0865
vociferans,-0.43973,-76.2803
vociferans,-4.98424,-73.7924
vociferans,-12.458,-68.7579
vociferans,-0.65539,-75.6652
vociferans,-0.4626,-76.6635
vociferans,-1.03572,-77.3972
vociferans,-1.93667,-66.605
vociferans,6.13168,-67.4924
vociferans,4.00533,-69.89875
vociferans,-12.6074,-69.0436
vociferans,4.84469,-67.8196
vociferans,-9.375,-74.1889
vociferans,-9.22361,-74.3236
vociferans,-8.90556,-74.2653
vociferans,-11.1,-70.175
vociferans,-11.9778,-73.4565
vociferans,-15.916,-66.803
vociferans,-16.051,-66.67
vociferans,-11.4239,-69.5387
vociferans,-5.8583,-73.7603
vociferans,-5.82818,-74.0339
vociferans,-6.3175,-73.1579
vociferans,3.9,-67.039
vociferans,4.058,-66.905
vociferans,3.722,-66.963
vociferans,-12.4813,-70.6223
vociferans,-4.77843,-78.144
vociferans,-14.55,-67.71667
vociferans,-3.16949,-72.8946
vociferans,0.15722,-72.62917
vociferans,-3.82189,-70.2608
vociferans,-13.75306,-68.35306
vociferans,-3.37742,-72.5432
vociferans,0.5175,-72.64103
vociferans,0.07417,-72.45139
vociferans,-3.85329,-71.5375
vociferans,-13.633,-68.733
vociferans,2.66667,-74.16667
vociferans,-15.0755,-67.1216
vociferans,-0.29111,-75.8106
vociferans,-13.591,-68.506
vociferans,-7.1764,-75.7035
vociferans,-7.30539,-75.5571
vociferans,-13.13,-69.58
vociferans,-2.3,-75.85
vociferans,-2.56667,-76.11667
vociferans,-14.82,-66.85
vociferans,-0.58226,-75.4891
vociferans,-13.503,-69.683
vociferans,-10.667,-66.85
vociferans,-10.954,-66.833
vociferans,-0.5,-76
vociferans,5.21831,-67.7952
vociferans,3.87601,-67.9056
vociferans,-13.66667,-69
vociferans,-2.36667,-77.5
vociferans,-11.25,-68.68
vociferans,-6.05,-76.73333
vociferans,-11.1432,-68.8709
vociferans,5.68158,-67.6318
vociferans,0.83361,-66.1669
vociferans,-15.4223,-67.4597
vociferans,-13.5,-67.5
vociferans,-12.688,-71.2421
vociferans,-12.3829,-68.9722
vociferans,-12.88333,-69.28333
vociferans,-9.19633,-75.886
vociferans,-4.47,-78.15
vociferans,-4.31605,-70.2094
vociferans,-4.07615,-69.9987
vociferans,-4.04949,-70.2844
vociferans,1.75,-67
vociferans,-12.3333,-70.9667
vociferans,1.5,-75.47
vociferans,-14.44222,-67.52833
vociferans,-1.91667,-77.23333
vociferans,0.86028,-76.57994
vociferans,-0.8,-77.41667
vociferans,-2.7833,-67.7833
vociferans,1.1333,-76.2667
vociferans,3.38,-74.04
vociferans,2.56283,-72.5666
vociferans,-0.59937,-72.39865
vociferans,-9.77986111,-67.2185833
vociferans,-7.89238889,-71.6623889
vociferans,-9.32619444,-68.3356389
vociferans,-4.86666667,-66.6166667
vociferans,-2.04208333,-67.2879444
vociferans,-11.0213,-65.99
vociferans,4.87764,-56.9405
vociferans,5.19295,-55.6856
vociferans,7.30798,-65.1421
vociferans,7.14544,-65.00825
vociferans,7.43328,-60.9521
vociferans,5.01023,-56.2619
vociferans,-3.25295,-59.9606
vociferans,-9.69967,-65.3682
vociferans,-3.70438,-46.7627
vociferans,-9.9263,-56.3088
vociferans,-11.0339,-65.7398
vociferans,-17.605,-63.7963
vociferans,5.07386,-52.6995
vociferans,-2.05393,-60.1005
vociferans,-9.24665,-55.988
vociferans,-2.16268,-49.5488
vociferans,-1.90497,-59.9745
vociferans,-2.73781,-60.9427
vociferans,4.65956,-58.9169
vociferans,5.02052,-61.1106
vociferans,7.94492,-61.687
vociferans,4.24485,-58.9055
vociferans,4.0447,-58.9999
vociferans,4.47135,-61.5883
vociferans,-9.78438,-55.742
vociferans,-2.64535,-60.0425
vociferans,-15.3811,-58.426
vociferans,-5.80333,-59.2567
vociferans,-3.62214,-60.0522
vociferans,-5.28904,-59.6648
vociferans,-5.53614,-59.7182
vociferans,-13.5407,-56.6315
vociferans,-4.03944,-59.0467
vociferans,5.33042,-55.262
vociferans,4.55309,-58.7684
vociferans,4.73095,-58.7347
vociferans,3.75194,-59.3097
vociferans,3.83685,-58.6725
vociferans,5.2115,-55.0651
vociferans,-7.50284,-58.2579
vociferans,-7.13813,-58.2323
vociferans,-7.3464,-58.1597
vociferans,-9.54644,-55.909
vociferans,-2.31785,-51.394
vociferans,-1.89604,-61.5312
vociferans,-2.91781,-59.9653
vociferans,4.95209,-55.1788
vociferans,-14.5566,-60.9274
vociferans,-14.5579,-61.1392
vociferans,-2.74889,-60.4306
vociferans,-2.52501,-60.7922
vociferans,5.40787,-53.586
vociferans,4.19577,-52.1509
vociferans,3.6229,-53.2082
vociferans,4.5917,-61.3417
vociferans,-3.9081,-63.4131
vociferans,7.34812,-62.5411
vociferans,-12.5323,-68.6766
vociferans,-9.47074,-56.3159
vociferans,-4.62439,-56.3874
vociferans,-8.51584,-57.887
vociferans,4.89394,-56.1228
vociferans,3.70804,-54.9193
vociferans,-10.342,-56.9495
vociferans,-14.0479,-60.3265
vociferans,-1.36509,-61.802
vociferans,-2.73456,-60.7544
vociferans,5.3606,-55.5975
vociferans,6.08302,-58.7769
vociferans,3.9022,-56.1711
vociferans,4.71313,-56.2088
vociferans,4.08333,-52.6833
vociferans,-8.49421,-60.9622
vociferans,7.15,-61.9608
vociferans,-12.8193,-65.7711
vociferans,-1.95,-51.6
vociferans,-2.55928,-64.6758
vociferans,-2.40355,-59.8659
vociferans,-2.33782,-60.1027
vociferans,-1.27815,-60.4439
vociferans,-1.69508,-63.7921
vociferans,-9.87794,-56.0985
vociferans,-2.41303,-60.9727
vociferans,-1.97418,-51.9763
vociferans,3.15423,-55.7529
vociferans,-14.8811,-61.084
vociferans,-2.5742,-59.554
vociferans,-5.96981,-50.36486
vociferans,4.27,-54.738
vociferans,4.82,-54.589
vociferans,-9.05418,-56.5863
vociferans,-4.39827,-59.5825
vociferans,-1.75479,-51.449
vociferans,3.2197,-59.3983
vociferans,-6.05043,-50.1917
vociferans,-8.81162,-63.9318
vociferans,-8.34624,-63.41
vociferans,-12.1441,-54.1046
vociferans,-2.9019,-60.5649
vociferans,-10.2979,-62.8667
vociferans,5.20096,-60.7362
vociferans,3.268,-58.779
vociferans,3.33113,-59.25483
vociferans,-5.80639,-60.2211
vociferans,-3.04361,-54.92806
vociferans,5.42598,-56.7279
vociferans,2.3535,-56.7932
vociferans,1.38,-58.93
vociferans,8.03798,-61.9112
vociferans,7.25137,-64.8611
vociferans,4.28333,-58.51667
vociferans,5.8251,-60.7144
vociferans,5.8391,-60.9832
vociferans,7.64695,-58.9503
vociferans,8.10233,-59.8836
vociferans,7.76345,-59.9724
vociferans,6.61231,-58.6314
vociferans,5.81315,-57.6705
vociferans,1.67583,-58.6227
vociferans,4.71305,-59.6985
vociferans,-9.15879,-60.7341
vociferans,-9.6966,-56.0413
vociferans,5.90467,-58.3217
vociferans,5.9855,-58.5507
vociferans,-17.383,-64.404
vociferans,5.66667,-57.88333
vociferans,-17.0167,-65.3953
vociferans,-1.88583,-61.7375
vociferans,5.99609,-61.4141
vociferans,-2.5876,-60.2217
vociferans,-2.96293,-60.9583
vociferans,6.18267,-61.4106
vociferans,-0.80027,-61.5582
vociferans,-14.2667,-60.8667
vociferans,5.5,-60.78333
vociferans,3.41667,-59.56667
vociferans,-17.26667,-64.76667
vociferans,-9.867,-65.7
vociferans,-10.28333,-52.11667
vociferans,-13.535,-61.008
vociferans,-13.655,-60.812
vociferans,-14.8647,-60.328
vociferans,-14.9889,-61.5825
vociferans,8.16667,-61.75
vociferans,4.62032,-61.1005
vociferans,8.83359,-62.769
vociferans,6.72211,-61.6472
vociferans,-1.98333,-59.5
vociferans,-15.458,-55.7646
vociferans,3.40296,-61.5999
vociferans,5.42769,-55.0678
vociferans,7.63333,-64.88333
vociferans,-1.45,-48.4833
vociferans,5.95528,-57.79583
vociferans,-11.65,-61.2
vociferans,2.85,-60.72
vociferans,0.98,-52.05
vociferans,-7.2,-58.05
vociferans,-2.43,-54.7
vociferans,7.6167,-59.6333
vociferans,4.41666,-55.78333
vociferans,-7.6667,-65.7667
vociferans,-4,-53
vociferans,5.15,-53.75
vociferans,-16,-64.41667
vociferans,-0.8,-48.13333
vociferans,-10.31,-58.49
vociferans,-3.08,-60.82
vociferans,4.9333,-52.3333
vociferans,-4.85,-56.0666667
vociferans,-4.68730556,-61.4081667
vociferans,-2.46666667,-56
vociferans,-7.46666667,-62.8166667
vociferans,-8.39875,-55.3855556
vociferans,-1.73016667,-65.8793056
vociferans,-1.28333333,-58.6833333
vociferans,-0.93333333,-53.2333333
vociferans,-0.81666667,-53.9166667
vociferans,-2.08658333,-56.6211389
vociferans,-6.46,-51.0733333
vociferans,-2.6,-56.1833333
vociferans,-12.82975,-52.4000111
vociferans,-7.51833333,-63.3377778
vociferans,-8.90913889,-62.0000083
vociferans,-3.15,-55.8166667
vociferans,-5.76668056,-57.2876389
vociferans,-1.52333,-52.5817
vociferans,-3.20333,-52.2033
vociferans,-3.47222,-51.1978
vociferans,-2.63639,-54.9372
vociferans,-3.8425,-49.0969
vociferans,-4.27611,-55.9836
vociferans,-6.22222,-57.7528
vociferans,-5.36861,-49.1178
vociferans,-1.80444,-50.7122
vociferans,-7.14778,-55.3811
vociferans,-1.9175,-55.5181
vociferans,-1.76556,-55.8661
vociferans,-3.83778,-50.6375
vociferans,-2.99583,-47.3528
vociferans,-6.0675,-49.9022
vociferans,-3.86778,-54.22
vociferans,1.8,-53.48
vociferans,-1.22361,-48.2944
vociferans,-2.88,-52.01
vociferans,-6.64472,-51.995
vociferans,-9.24263,-35.823
vociferans,-14.2532,-39.1742
vociferans,-16.3798,-39.175
vociferans,-19.2409,-40.0047
vociferans,-15.2534,-39.2365
vociferans,-19.0167,-40.0895
vociferans,-19.08194,-39.88667
vociferans,-18.8621,-39.8982
vociferans,-9.92,-36.13
